Br,Bt,Bn,B,ddoy,Np,Vth,Vr,Vt,Vn,QF,Vsw,Beta_p,date
-21.842648,15.388624,-13.245454,29.822023,259.77256944444446,21.838688,37.821285,366.8846,2.9445004,10.890327,0.0,367.15112,0.07382994,2023-09-16 18:32:30
-20.623396,15.449116,-14.992357,29.812252,259.7732638888889,23.347723,41.033558,365.4063,-7.2971992,0.34303594,0.0,365.494,0.092969604,2023-09-16 18:33:30
-20.339098,13.672476,-16.655748,29.631561,259.7739583333333,21.026701,37.693684,369.8281,-20.186956,-26.306026,0.0,371.32495,0.07151659,2023-09-16 18:34:30
-19.88928,11.858017,-18.423115,29.59066,259.77465277777776,23.758892,38.855415,364.1832,-22.942188,-14.465633,0.0,365.24878,0.08610485,2023-09-16 18:35:30
-16.156216,12.784644,-21.401268,29.706644,259.7753472222222,21.646206,38.68774,377.8976,-27.014278,-29.03359,1.0,380.22778,0.077166535,2023-09-16 18:36:30
-13.087074,12.6195965,-23.476578,29.69302,259.7760416666667,20.801735,37.522472,389.64594,-4.4886117,-21.958467,0.5000352980842419,390.34637,0.06982024,2023-09-16 18:37:30
-9.887785,4.0565705,-27.658062,29.65118,259.7767361111111,20.869986,35.353397,397.8754,-29.9032,-32.546455,1.0,401.3489,0.062360294,2023-09-16 18:38:30
-11.439632,7.3859286,-26.349773,29.660204,259.77743055555555,21.914114,38.608402,395.13956,-19.354195,-11.64663,1.0,395.85458,0.07804533,2023-09-16 18:39:30
-9.489441,9.665529,-26.408905,29.679996,259.778125,21.548512,38.93246,405.5241,-10.707514,-17.974863,0.0,406.10342,0.07793292,2023-09-16 18:40:30
-9.804474,10.751523,-25.912922,29.718721,259.7788194444444,20.833942,37.722126,402.7945,-18.917967,-23.626745,0.9169861428636732,403.9341,0.0705523,2023-09-16 18:41:30
-8.980968,11.93667,-25.68296,29.711216,259.7795138888889,22.965824,42.572933,401.88052,-16.426744,-24.358118,0.0,402.99826,0.09910965,2023-09-16 18:42:30
-13.819985,9.847144,-23.814497,29.241896,259.78020833333335,20.93645,38.402016,387.87448,-19.628227,-22.07668,0.0,389.2538,0.07589403,2023-09-16 18:43:30
-10.912354,12.62421,-23.98603,29.219511,259.7809027777778,27.013933,44.881603,402.51932,3.910125,-10.641585,0.0,403.05777,0.13396342,2023-09-16 18:44:30
-10.758358,9.715081,-25.916946,29.69534,259.7815972222222,20.156199,36.870518,398.31757,-36.147785,-37.840805,1.0,401.83127,0.06531279,2023-09-16 18:45:30
-11.273549,1.5688878,-26.770382,29.08965,259.78229166666665,21.71202,37.706993,395.8941,-59.959766,-17.785654,1.0,400.82025,0.076678686,2023-09-16 18:46:30
-8.924015,2.6740608,-27.908945,29.422745,259.7829861111111,21.61229,36.466045,408.6246,-43.111713,-20.254234,0.0424133347506877,411.40012,0.069778144,2023-09-16 18:47:30
-11.125443,2.3954213,-27.026455,29.324781,259.7836805555556,20.118467,35.919266,394.04495,-51.708385,-18.333258,0.0,397.86856,0.0634436,2023-09-16 18:48:30
-9.735038,5.2944784,-26.759645,28.963444,259.784375,23.668646,39.47014,409.4894,-46.110508,-17.829815,0.0,412.4862,0.0923885,2023-09-16 18:49:30
-9.169611,5.299151,-26.703571,28.727053,259.78506944444445,21.644983,37.68942,408.13333,-42.37114,-20.567915,0.3948734453987621,410.98444,0.078310795,2023-09-16 18:50:30
-8.340295,6.8862076,-26.346212,28.479876,259.7857638888889,23.924608,39.73076,405.15692,-34.02683,-7.938907,1.0,406.74863,0.09786559,2023-09-16 18:51:30
-9.717389,7.663203,-26.16382,28.94301,259.7864583333333,21.951399,37.02953,401.69302,-29.477829,-8.463069,1.0,402.8669,0.07552293,2023-09-16 18:52:30
-3.218569,1.7124792,-29.007938,29.236147,259.7871527777778,21.30433,36.392067,443.3748,-34.8893,-1.0837065,1.0,444.94086,0.069382295,2023-09-16 18:53:30
-4.9853864,-1.6586678,-29.042042,29.51348,259.78784722222224,23.231169,38.057926,417.129,-41.976284,-9.473599,1.0,419.3464,0.08119478,2023-09-16 18:54:30
-8.024365,0.85816866,-26.78254,27.971973,259.7885416666667,25.163534,41.894344,415.9654,-53.044403,0.808943,1.0,419.36722,0.118643455,2023-09-16 18:55:30
-12.158113,9.284207,-23.603216,28.126999,259.7892361111111,24.178535,40.81523,397.80475,-16.941381,10.9577465,1.0,398.3517,0.10701271,2023-09-16 18:56:30
-13.022767,13.45229,-22.355486,29.160322,259.78993055555554,24.984314,41.648438,392.4601,-2.6273127,9.465062,1.0,392.72592,0.10712425,2023-09-16 18:57:30
-13.492282,14.826538,-21.567808,29.445513,259.790625,23.852205,40.299294,407.52014,5.1674957,6.1582775,0.5609710386075454,407.6089,0.093905866,2023-09-16 18:58:30
-14.913959,18.804688,-17.940798,29.965225,259.79131944444447,25.270142,43.569416,390.6633,24.146814,22.505033,0.0,392.12915,0.112290666,2023-09-16 18:59:30
-13.949169,21.268658,-14.254508,29.156921,259.7920138888889,24.186216,42.5065,394.34213,25.044336,16.681421,0.8524956825879079,395.70242,0.10804457,2023-09-16 19:00:30
-9.893451,25.821316,1.1909966,27.677412,259.79270833333334,26.275068,47.488068,412.87808,45.20609,92.951065,0.0,425.62057,0.1625809,2023-09-16 19:01:30
-3.5387504,27.687881,4.424565,28.261604,259.79340277777777,26.673018,43.557545,438.37457,58.311924,99.966,0.8559801785209358,453.40628,0.133172,2023-09-16 19:02:30
-7.943979,26.54342,0.24362054,27.707748,259.7940972222222,26.909689,50.177284,418.62057,54.53355,83.036514,0.2897820490906589,431.6221,0.18549328,2023-09-16 19:03:30
-4.3823843,25.47035,4.682195,26.26532,259.79479166666664,22.92134,37.774933,432.94525,58.73573,106.883934,1.0,449.87073,0.09965284,2023-09-16 19:04:30
-18.62155,17.452745,-10.824966,27.72256,259.79548611111113,27.977316,45.165596,396.45157,46.10664,57.009933,0.4186936996446094,403.42917,0.15608549,2023-09-16 19:05:30
-12.271167,23.086632,-14.501686,29.897709,259.79618055555557,25.138773,41.46939,396.9318,40.16682,30.62386,0.0,400.1779,0.10165556,2023-09-16 19:06:30
-12.993865,20.172136,-17.449005,29.668558,259.796875,23.998732,40.27049,411.78302,43.039776,27.156282,0.0,414.98056,0.092934474,2023-09-16 19:07:30
-12.8696,17.694828,-21.069357,30.375177,259.79756944444443,25.927145,44.617676,402.35233,16.43897,8.408066,0.0,402.77805,0.1175814,2023-09-16 19:08:30
