Br,Bt,Bn,B,ddoy,Vr,Vt,Vn,Np,Tp,Vsw,Beta_p,date
8.675449,-6.325335,3.7737072,11.380428,50.02256944444444,382.07462,28.711412,-12.319058,9.903042,3.4283974,383.3509,0.10555857,2023-02-19 00:32:30.000004
8.46965,-6.2202415,4.212149,11.3211565,50.02326388888889,384.32312,27.127848,-15.457532,9.993125,3.259558,385.59033,0.102336235,2023-02-19 00:33:30.000000
8.8048,-6.636819,2.661646,11.342673,50.02394675925926,382.24954,30.848995,-6.6108136,10.346094,3.5204735,383.5494,0.113998115,2023-02-19 00:34:29.999997
8.727576,-5.9515204,4.0275254,11.305404,50.024652777777774,379.08374,32.916656,-12.227035,10.776601,4.6212997,380.70917,0.15690063,2023-02-19 00:35:30.000003
8.37098,-5.871162,4.778394,11.286138,50.02534722222222,380.2411,30.969658,-15.431284,10.758471,4.874899,381.81265,0.1657969,2023-02-19 00:36:30.000000
8.445183,-5.637482,4.870896,11.261791,50.02603009259259,382.39667,30.652052,-12.352602,10.835898,3.5106719,383.82205,0.12077892,2023-02-19 00:37:29.999996
8.809621,-5.6090455,4.5164533,11.378451,50.02673611111111,381.81665,30.221783,-11.552729,10.683194,3.5874925,383.21585,0.11920015,2023-02-19 00:38:30.000003
8.588455,-5.4268627,5.197215,11.411549,50.02741898148148,384.68277,33.36387,-14.259192,11.237529,3.9453068,386.3908,0.13709241,2023-02-19 00:39:29.999999
8.242381,-6.246248,4.7767873,11.39167,50.02811342592592,382.8835,28.95893,-12.66387,11.04088,3.1642613,384.186,0.10840571,2023-02-19 00:40:29.999995
9.04392,-4.847855,5.0379663,11.43133,50.028819444444444,383.18002,30.691244,-12.524464,11.30297,3.0729737,384.61124,0.10703083,2023-02-19 00:41:30.000002
8.653965,-5.6349916,4.2128773,11.153142,50.02950231481481,381.27206,31.410686,-12.289882,11.545027,4.2127466,382.7619,0.1574406,2023-02-19 00:42:29.999998
8.515033,-5.4861207,4.7990417,11.208662,50.03019675925926,380.1197,28.397684,-8.477604,11.768766,3.4439752,381.27643,0.12990755,2023-02-19 00:43:29.999995
8.116501,-5.958533,4.784505,11.147788,50.030902777777776,384.21548,32.25591,-11.8951025,11.561986,3.9319677,385.75055,0.14730448,2023-02-19 00:44:30.000001
8.561957,-5.9174047,4.275244,11.251689,50.031585648148145,380.73425,27.331278,-9.415208,10.952402,3.2773018,381.8303,0.11416719,2023-02-19 00:45:29.999998
8.563361,-5.475568,4.5907645,11.152942,50.032291666666666,377.7585,24.972883,-10.039812,11.99987,3.7384908,378.71652,0.14522617,2023-02-19 00:46:30.000004
8.459366,-5.5846233,4.705528,11.175459,50.032986111111114,380.9359,27.334543,-10.947397,11.744609,3.1541088,382.07428,0.11943604,2023-02-19 00:47:30.000001
