Br,Bt,Bn,B,ddoy,Np,Vth,Vr,Vt,Vn,QF,Vsw,Beta_p,date
-3.2121432,15.42403,2.628404,15.972698,259.0003472222222,39.017586,31.633078,412.8481,3.9358773,-0.40264463,0.31637434324367014,412.8672,0.32165802,2023-09-16 00:00:30
-4.9960766,15.023867,2.5055883,16.029825,259.00104166666665,40.3247,32.600315,411.32382,0.06985118,0.72930837,0.0,411.3303,0.35056195,2023-09-16 00:01:30
-4.9578624,15.459684,-0.072598085,16.235378,259.0017361111111,39.37056,32.14729,410.33722,2.4760723,-4.34225,0.0,410.36774,0.3244465,2023-09-16 00:02:30
-5.8923254,14.932148,-0.7415888,16.069801,259.0024305555556,42.03328,33.8379,408.2735,-0.0509617,-6.301096,0.0,408.32962,0.39172983,2023-09-16 00:03:30
-12.05351,12.488988,-4.3787794,17.900715,259.003125,37.209846,39.034317,407.50925,7.1761575,-5.832,0.0,407.6249,0.37189293,2023-09-16 00:04:30
-8.972311,14.423357,-3.630064,17.369886,259.00381944444445,37.275387,35.3472,407.96252,8.746811,-4.2531924,0.0,408.1008,0.32444862,2023-09-16 00:05:30
-9.425357,16.199774,-4.439492,19.260818,259.0045138888889,34.736366,34.611336,409.50308,5.8047056,-4.5344524,0.0,409.58072,0.23576492,2023-09-16 00:06:30
-9.231877,16.881489,-3.9393778,19.640034,259.0052083333333,33.798233,33.216164,412.3352,7.729884,-3.3126845,0.0,412.4212,0.20319644,2023-09-16 00:07:30
-8.791515,18.487839,-5.1375785,21.106531,259.0059027777778,31.970148,31.222713,410.87015,2.1148798,-1.1428714,0.0,410.88174,0.14704823,2023-09-16 00:08:30
-8.155295,19.225836,-4.0419254,21.271547,259.00659722222224,32.421234,31.260035,411.94162,3.189181,-5.5030913,0.0,411.99078,0.14716955,2023-09-16 00:09:30
-7.8935275,17.377274,-5.427457,19.842749,259.0072916666667,36.894917,35.716965,413.12344,7.2321734,-1.5891114,0.0,413.19373,0.25125784,2023-09-16 00:10:30
-5.6098933,18.577236,-1.9387274,19.502392,259.0079861111111,36.366497,34.475933,408.9883,2.1480453,-8.150017,0.0,409.0759,0.23887207,2023-09-16 00:11:30
-2.1974056,19.698307,-2.2489872,19.947678,259.00868055555554,37.609516,33.5597,405.2024,-8.610872,-12.047773,0.0,405.48474,0.2237468,2023-09-16 00:12:30
-9.862452,11.73289,-6.91817,16.816353,259.009375,38.18173,43.63231,399.61584,-12.097194,-6.680978,0.0,399.97006,0.5402763,2023-09-16 00:13:30
-18.229002,0.80021024,-9.509839,20.576052,259.01006944444447,37.493378,38.330772,388.4868,-23.375837,-10.032668,0.0,389.3437,0.27348486,2023-09-16 00:14:30
-18.800858,0.8373425,-8.349852,20.588673,259.0107638888889,37.05299,34.78389,388.71353,-25.065727,-12.146956,0.0,389.71143,0.22229542,2023-09-16 00:15:30
-18.743526,-3.199614,-8.260761,20.731558,259.01145833333334,39.031673,41.223557,384.56067,-21.7386,-15.00388,0.0,385.46683,0.32437828,2023-09-16 00:16:30
-19.03649,-3.187503,-7.8943105,20.853495,259.01215277777777,37.74402,38.824944,385.3293,-27.617762,-0.4321004,0.0,386.32074,0.2749918,2023-09-16 00:17:30
-18.53493,-1.714882,-8.77314,20.57796,259.0128472222222,41.162052,42.47839,380.21582,-19.810972,2.101973,0.0,380.78644,0.36866856,2023-09-16 00:18:30
-18.612394,-3.4165606,-7.802189,20.468714,259.01354166666664,42.048615,44.458103,384.93512,-29.273876,2.678961,0.0,386.11432,0.41694626,2023-09-16 00:19:30
-18.293007,-2.0819247,-11.024277,21.459337,259.01423611111113,33.831837,35.13992,393.52155,-30.744377,2.5381148,0.0,394.7443,0.19067863,2023-09-16 00:20:30
-18.427948,-9.392986,-3.225216,20.933691,259.01493055555557,36.60549,37.440804,391.27762,-35.6486,8.418171,0.0,392.99292,0.24612324,2023-09-16 00:21:30
-19.849525,-7.15127,-5.9005075,21.907997,259.015625,34.108524,35.932156,392.22345,-31.305798,9.040933,0.0,393.57474,0.19285536,2023-09-16 00:22:30
-19.612204,2.236316,-11.935967,23.067444,259.01631944444443,27.466064,31.690754,396.3016,-25.554398,-7.3358736,0.0,397.20074,0.1089608,2023-09-16 00:23:30
-18.248924,7.3501663,-13.235216,23.71116,259.01701388888887,28.043592,31.107265,396.69458,-16.590458,16.442858,0.1819156603111591,397.4405,0.10145171,2023-09-16 00:24:30
-18.648525,7.4081535,-15.7290745,25.496117,259.01770833333336,17.56835,20.073294,410.06134,-4.051101,38.44722,1.0,411.88846,0.022889052,2023-09-16 00:25:30
-19.062975,7.1295705,-15.562338,25.62058,259.0184027777778,15.253369,17.497446,413.004,-3.719063,38.903416,1.0,414.85095,0.014953566,2023-09-16 00:26:30
