ddoy B Bx By Bz Np Vth Vsw
273.123 8.23233 -1.14321 7.2069 3.80395 8.44218 27.1524 356.444
273.124 8.12763 -0.955073 7.18568 3.67508 8.95351 28.8122 355.535
273.125 8.21162 -0.961312 7.2435 3.7443 8.48067 26.4127 356.248
273.126 8.1911 -0.931545 7.05933 4.04399 8.41982 27.5974 356.027
273.127 7.99485 -0.94466 6.84802 4.00866 9.36465 28.013 356.746
273.128 7.99989 -0.906511 6.37612 4.7375 9.67208 26.4651 356.002
273.13 8.15413 -0.951716 6.07983 5.22351 10.4496 34.437 353.668
273.131 8.05211 0.0779556 7.38927 3.03613 9.86992 26.9232 355.828
273.132 8.11858 0.340317 7.51863 2.96361 9.06325 25.5257 354.652
273.133 8.25165 0.0930523 7.0921 4.08799 9.40038 29.9492 353.669
273.134 8.6552 -0.514437 7.74432 3.63026 6.3572 29.3341 356.824
273.135 8.47616 0.709849 6.11535 5.68762 8.50004 29.9595 346.669
273.136 8.67617 0.447358 6.83214 5.29171 6.57437 27.886 351.318
273.137 8.2894 -0.589266 7.45117 3.29881 8.88224 28.4329 358.11
273.138 8.31103 -0.781559 7.76612 2.8187 8.2182 29.3661 357.059
273.139 8.54626 -0.094882 7.4323 4.19207 7.37383 30.5307 355.075
273.141 8.52847 -0.01037 7.34062 4.24384 7.52093 28.5145 355.849
273.142 8.73232 0.592556 6.23828 6.07378 6.59303 29.0966 351.033
273.143 8.0663 0.440392 5.70077 5.66208 8.79464 30.9217 354.972
273.144 7.65768 0.419254 5.08041 5.69943 9.67673 32.2418 355.42
273.145 7.00987 0.276699 5.0297 4.85478 11.6884 33.018 356.444
273.146 7.38109 0.433053 6.07912 4.1409 11.0605 33.8659 354.328
273.147 7.15825 0.298251 6.18623 3.42746 11.8073 31.9535 355.921
273.149 6.54035 0.325732 5.44934 3.4935 14.0125 30.9259 355.633
273.15 6.36757 0.298554 5.10389 3.66632 14.3682 30.682 356.406
273.151 6.69642 0.441492 5.79967 3.27266 13.2811 29.8473 354.624
273.152 7.00232 0.582221 5.93489 3.62983 11.8221 29.5978 354.686
273.153 6.77435 0.211033 6.48302 1.75634 13.6552 28.0854 354.692
273.154 7.19706 -0.131428 7.17062 -0.10042 12.5846 28.9051 354.69
273.155 3.82171 -0.711464 2.06394 -2.19526 17.589 35.2388 358.004
273.156 6.38164 1.0725 -4.08204 3.51902 15.3069 25.3105 351.167
273.157 7.79893 1.52312 -6.74033 3.6072 13.1914 21.3636 356.06
273.158 7.62262 1.6005 -6.45538 3.72238 14.4367 20.6455 357.142
273.16 7.52504 1.40289 -6.43629 3.63215 14.3271 21.4132 356.656
273.161 7.69032 1.55772 -6.20049 4.25235 13.2388 20.7838 358.285
273.162 7.50837 1.98488 -5.67608 4.48212 14.2112 21.092 359.756
273.163 7.73819 1.83476 -6.45815 3.83084 13.2559 20.4249 359.483
273.164 7.3848 1.98029 -5.83072 4.0278 15.1054 21.4796 359.094
273.165 6.96854 2.09686 -5.13704 4.18837 16.2157 22.5785 358.395
273.166 7.07116 2.37677 -5.32293 3.99502 15.6038 20.7641 356.856
273.167 7.14412 2.37251 -5.58958 3.70549 15.4074 20.5366 357.346
273.169 7.18977 2.34347 -5.8838 3.37503 16.2359 21.7772 357.476
273.17 7.23902 2.36561 -6.10518 3.07196 15.6672 20.3977 359.228
273.171 7.16888 2.27211 -6.08553 3.00476 15.7381 20.8915 358.937
273.172 7.20939 2.29609 -6.10063 3.07459 14.7726 20.7798 361.551
273.173 6.92903 2.05139 -5.86228 3.04604 15.3493 21.9326 363.519
273.174 6.71591 2.54566 -5.52936 2.80967 15.5377 20.7896 362.516
