Br,Bt,Bn,B,ddoy,Np,Vth,Vr,Vt,Vn,QF,Vsw,Beta_p,date
1.1393433,17.219025,-8.534224,19.251646,230.00034722222222,3.366416,14.912137,582.25616,71.53863,6.805511,1.0,583.98584,0.004245408,2022-08-18 00:00:30
1.7322125,15.552408,-12.768506,20.19685,230.00104166666668,4.581701,21.278658,593.0721,55.645927,1.6214653,1.0,595.89386,0.010689455,2022-08-18 00:01:30
5.3778925,11.532068,-15.739748,20.239813,230.00173611111111,3.9749289,18.85849,596.7961,21.674482,-31.688032,1.0,598.04333,0.0072533377,2022-08-18 00:02:30
8.257056,6.749867,-16.653404,19.77563,230.00243055555555,4.810884,23.297337,596.81335,-9.207823,-40.00647,1.0,598.2263,0.014034094,2022-08-18 00:03:30
6.291798,6.5939813,-17.38006,19.624826,230.003125,2.8255239,12.915007,570.74347,67.77148,6.368827,1.0,576.7555,0.0025720787,2022-08-18 00:04:30
-1.3567642,9.928249,-16.240152,19.082806,230.00381944444445,2.6174586,11.169909,569.0313,19.951128,-38.44031,1.0,570.6832,0.0018849602,2022-08-18 00:05:30
2.106883,3.7414143,-19.12377,19.59989,230.00451388888888,2.31854,11.036498,594.967,11.82562,-42.585075,1.0,596.8308,0.0015451744,2022-08-18 00:06:30
3.496038,0.5923197,-19.42731,19.748255,230.00520833333334,2.9911354,13.889103,598.0564,-8.889674,-40.55095,1.0,599.7204,0.0031098155,2022-08-18 00:07:30
4.847488,-0.021334624,-18.573896,19.196047,230.00590277777778,4.6973715,18.11142,540.31836,-17.097097,-22.243954,1.0,541.37573,0.00878909,2022-08-18 00:08:30
-12.652287,6.481012,-11.0737,18.019732,230.0065972222222,5.496196,19.382036,453.8354,-28.96817,-10.04062,1.0,455.54648,0.013365095,2022-08-18 00:09:30
-10.392774,10.508671,6.479024,16.137524,230.00729166666667,1.8551756,6.8590713,510.90643,13.178824,80.46797,1.0,522.56354,0.0007044489,2022-08-18 00:10:30
-13.755409,9.474369,9.209296,19.073177,230.0079861111111,4.823956,15.659913,471.09457,-21.863546,69.5895,1.0,477.7265,0.0068350793,2022-08-18 00:11:30
-17.304522,9.513856,0.037794452,19.74744,230.00868055555554,6.78726,21.049166,456.95514,-6.684659,37.53302,1.0,458.55,0.016208779,2022-08-18 00:12:30
-17.833996,7.377821,-1.8748343,19.390686,230.009375,8.199349,23.89493,461.02762,-20.628576,15.875818,1.0,461.82574,0.026170513,2022-08-18 00:13:30
-12.44541,11.91962,-8.655809,19.284414,230.01006944444444,6.6939526,32.650074,501.86285,0.644865,-24.094774,1.0,502.4456,0.04033162,2022-08-18 00:14:30
-10.319854,9.361313,-12.822357,18.935322,230.0107638888889,1.4447416,5.9731364,477.88635,-1.191111,-21.560448,1.0,478.7457,0.00030217413,2022-08-18 00:15:30
-4.6095076,8.921923,-16.934849,19.688509,230.01145833333334,4.9011316,15.023528,551.705,-32.29519,-58.564995,1.0,555.8062,0.0059982175,2022-08-18 00:16:30
-1.0953176,7.274057,-17.97631,19.423166,230.01215277777777,7.834481,24.471003,547.11426,-26.081036,-52.609066,0.526149801928489,550.4122,0.026138542,2022-08-18 00:17:30
-4.8258553,6.1609073,-17.66324,19.31931,230.01284722222223,8.725944,28.57906,530.75653,-29.010427,-49.43673,1.0,533.9689,0.04013588,2022-08-18 00:18:30
-6.5333357,3.0389261,-17.04109,18.501846,230.01354166666667,5.4223714,16.162645,516.51373,-31.363,-45.21692,0.8176733306715362,519.5945,0.008697445,2022-08-18 00:19:30
-9.686266,5.2442365,-15.795745,19.25698,230.0142361111111,6.356714,22.189932,524.0486,-22.338871,-47.340923,1.0,526.7244,0.017740909,2022-08-18 00:20:30
